puzzle,solution,clues,difficulty,difficulty_range,result,time
429578136718693524356241789532764891867159243194382675971425368645837912283916457 1.439
438176529921538746765942831384765912176329485592481673859217364613894257247653198 2.774
796342158528617943431985672152493867967851234843726591375268419689174325214539786 2.418
197426538642385791853719246368942157521873469974561823236157984419238675785694312 0.064
967451823841263579523798614238679145475812396196345782389527461652184937714936258 0.060
956371824132948576784652931847569213269413785315827649678135492591284367423796158 0.234
876295341439187562521346879298534617314762985657918234945673128762851493183429756 0.441
348971652529864173617532489954786231832145796176293548283417965795628314461359827 0.201
235197648846253719719486253352714896971862534684539172593621487428375961167948325 5.166
195762438734819625862435197283147956576293814419586372651924783947358261328671549 0.143
398762451125843796764519832917456283842931567653287149286374915439125678571698324 21.056
682459731137682549594731862913267458476598213825143697768314925241975386359826174 0.538
536891427482735169917246853643982571129574638875613294764328915358169742291457386 4.266
213594678984637251765182493592416387871253946436879512128345769359761824647928135 0.416
893712465217564839645983721164837952372495186589126374751648293428359617936271548 26.441
845716329912534768367289145234168597651497283798325614479651832183972456526843971 1.233
156379428798245316234186957325814769849567132617932584572691843481723695963458271 0.530
723941865589326471614758239975482316431695728862137594256813947347569182198274653 3.511
846735192937241685125896437754189263698352714213467859589674321371528946462913578 3.429
684259137293741856175638492346527918712894365859316274961485723538172649427963581 2.453
821743596649581327537692418476328159912475863385169274798254631263817945154936782 0.245
715869243638425971924317568189256437567134829243798156496583712372941685851672394 0.459
392845716185267394467139285246918537518376942739452861954781623871623459623594178 11.854
362947185519832476874615932986271354231564798457389621123498567795126843648753219 1.977
419687532583492716672315894368521947795834261124769385956178423841253679237946158 1.402
135829746286473915749165238871954623562317489394286157427638591613592874958741362 0.600
137295486465738921982614735721456398659387214348921567274163859896572143513849672 0.439
149635728875142396362879145623594871981726453457381962596413287238957614714268539 0.059
356178924479362851821459763794236518162985437583741692237694185615827349948513276 9.922
915672438348159726672348951427963185196785243583421679839217564754896312261534897 0.779
318679245796524183452381697643752918985136472127948356564813729831297564279465831 1.711
438519267526784931179362845395847612812635479764291358957426183243158796681973524 2.586
761895324925341768834267159647912583318756492259483617182634975476529831593178246 7.570
735196248182754639496283175849312756271645893653978412927831564518469327364527981 2.410
159432786674895231823716549518923467967541823432687915786154392295368174341279658 3.035
257694813396218547148357296981543672763829154524176389639481725875932461412765938 1.017
876352419541967238923841567357496182692185743184273695465738921239514876718629354 0.733
418539276935267418627418539294356781761892354853174962372641895149785623586923147 1.567
965184237371526489824937615483215796592673841617498352739861524246359178158742963 0.611
372165948568349172941872356824516739139487265657923481493651827286794513715238694 0.139
123754968857692314946831527732168459514923876689547231268475193475319682391286745 2.226
621473985894156372735982146512694837489237561367815294146329758958741623273568419 0.893
286147359457239816139685724312896475798354162645712983824961537963578241571423698 1.004
175496832896253741432871956924765318357182694681349527763514289548927163219638475 0.259
