puzzle,solution,clues,difficulty,difficulty_range,result,time
000070030000003020056200089000064001007000000090080005900005000000037910280000000,429578136718693524356241789532764891867159243194382675971425368645837912283916457,24,1.0,0,429578136718693524356241789532764891867159243194382675971425368645837912283916457,0.370
408076500000000040005000801004700002000320000590080000000000000613004050000600108,438176529921538746765942831384765912176329485592481673859217364613894257247653198,25,0.0,0,438176529921538746765942831384765912176329485592481673859217364613894257247653198,0.740
090000008020610000000005670000000060007800030043020000070200019080004005200030000,796342158528617943431985672152493867967851234843726591375268419689174325214539786,24,0.0,0,796342158528617943431985672152493867967851234843726591375268419689174325214539786,0.785
090400530042000090800000006008000007500073000004561800000007900000000675005600000,197426538642385791853719246368942157521873469974561823236157984419238675785694312,26,0.0,0,197426538642385791853719246368942157521873469974561823236157984419238675785694312,0.082
900001003840200009500008010000670000400010306190040002380000400000000000000030200,967451823841263579523798614238679145475812396196345782389527461652184937714936258,25,0.0,0,967451823841263579523798614238679145475812396196345782389527461652184937714936258,0.042
900370800002940006700000901007060010000400000305800040600030000000080300000700050,956371824132948576784652931847569213269413785315827649678135492591284367423796158,25,0.0,0,956371824132948576784652931847569213269413785315827649678135492591284367423796158,0.190
070200040030080060500000009000530000010760000600900204900600100000000000003000750,876295341439187562521346879298534617314762985657918234945673128762851493183429756,23,0.0,0,876295341439187562521346879298534617314762985657918234945673128762851493183429756,0.375
000900050500064170610000000054000230030040000000200008003007900700608000000309020,348971652529864173617532489954786231832145796176293548283417965795628314461359827,26,0.0,0,348971652529864173617532489954786231832145796176293548283417965795628314461359827,0.171
200000008000053000010080050050700090070002004080500100000001087008000060100940000,235197648846253719719486253352714896971862534684539172593621487428375961167948325,24,0.0,0,235197648846253719719486253352714896971862534684539172593621487428375961167948325,4.238
000062008730000605002000000000107000506000010409000000601020003000050001008070540,195762438734819625862435197283147956576293814419586372651924783947358261328671549,25,0.0,0,195762438734819625862435197283147956576293814419586372651924783947358261328671549,0.131
000700050020000006060509800900000003800000507000080000000000900000120000501008300,398762451125843796764519832917456283842931567653287149286374915439125678571698324,21,0.0,0,398762451125843796764519832917456283842931567653287149286374915439125678571698324,17.634
000050701030082009004000000900007050000000013020003600760010000200900000000000074,682459731137682549594731862913267458476598213825143697768314925241975386359826174,23,0.0,0,682459731137682549594731862913267458476598213825143697768314925241975386359826174,0.453
536090000002000060900000800600002000000074000005010004700028905000000042001000080,536891427482735169917246853643982571129574638875613294764328915358169742291457386,24,0.0,0,536891427482735169917246853643982571129574638875613294764328915358169742291457386,3.563
200000000000030201065082003002400007001000900000870000000040069050760000000900130,213594678984637251765182493592416387871253946436879512128345769359761824647928135,25,0.0,0,213594678984637251765182493592416387871253946436879512128345769359761824647928135,0.432
800010400217500800005080000000000000000090006009106070000600093028350010000000040,893712465217564839645983721164837952372495186589126374751648293428359617936271548,25,0.0,0,893712465217564839645983721164837952372495186589126374751648293428359617936271548,3.345
040000020902530008300080005004000590000000003008020010000650002100900400000000900,845716329912534768367289145234168597651497283798325614479651832183972456526843971,24,0.0,0,845716329912534768367289145234168597651497283798325614479651832183972456526843971,1.093
000070408000205000230180000000010709040500030600030000000000003000700095060450200,156379428798245316234186957325814769849567132617932584572691843481723695963458271,25,0.0,0,156379428798245316234186957325814769849567132617932584572691843481723695963458271,0.503
000001865080306001000000000005000010430690000002030500050000040007009002000270600,723941865589326471614758239975482316431695728862137594256813947347569182198274653,25,1.0,0,723941865589326471614758239975482316431695728862137594256813947347569182198274653,0.602
000730100000040085020806400000000000690002004013060800000000020300500006400010000,846735192937241685125896437754189263698352714213467859589674321371528946462913578,24,0.0,0,846735192937241685125896437754189263698352714213467859589674321371528946462913578,1.302
000200000200000850000630002306000008010800300009016070960005700008070009000003000,684259137293741856175638492346527918712894365859316274961485723538172649427963581,25,0.0,0,684259137293741856175638492346527918712894365859316274961485723538172649427963581,1.557
020000506600000007030092000400020009000075063080000070700000000000007945150030000,821743596649581327537692418476328159912475863385169274798254631263817945154936782,25,0.0,0,821743596649581327537692418476328159912475863385169274798254631263817945154936782,0.211
000069000038000071000000008000200037560100800000700150090000002302001605001000000,715869243638425971924317568189256437567134829243798156496583712372941685851672394,25,0.0,0,715869243638425971924317568189256437567134829243798156496583712372941685851672394,0.093
000840010100200300000009200000900500500006040039002060004001000800000050023000008,392845716185267394467139285246918537518376942739452861954781623871623459623594178,24,0.0,0,392845716185267394467139285246918537518376942739452861954781623871623459623594178,2.115
360007100500030006004000002086200000000000700400380000103400500000026003000000009,362947185519832476874615932986271354231564798457389621123498567795126843648753219,24,0.0,0,362947185519832476874615932986271354231564798457389621123498567795126843648753219,1.692
010080000000092000672000000008521000000000060000709000050100003041000009200000058,419687532583492716672315894368521947795834261124769385956178423841253679237946158,23,0.0,0,419687532583492716672315894368521947795834261124769385956178423841253679237946158,0.792
035020740080070000000005000870900000060300400304080000400008500000000070900040362,135829746286473915749165238871954623562317489394286157427638591613592874958741362,26,1.0,0,135829746286473915749165238871954623562317489394286157427638591613592874958741362,0.265
100005000400700000002010030020400008009007200000901500000003000800000140010009072,137295486465738921982614735721456398659387214348921567274163859896572143513849672,24,0.0,0,137295486465738921982614735721456398659387214348921567274163859896572143513849672,0.401
000605000800040090302000100003090070001020400050000002090000200000000004710008500,149635728875142396362879145623594871981726453457381962596413287238957614714268539,23,0.0,0,149635728875142396362879145623594871981726453457381962596413287238957614714268539,0.090
300100900070362000000009000000030500060000400580000092000600080010800000940000270,356178924479362851821459763794236518162985437583741692237694185615827349948513276,24,0.0,0,356178924479362851821459763794236518162985437583741692237694185615827349948513276,5.138
010672000048009000600000000007003100000000240503020070009000500700000000000034800,915672438348159726672348951427963185196785243583421679839217564754896312261534897,23,0.0,0,915672438348159726672348951427963185196785243583421679839217564754896312261534897,0.676
008670005000004103400081000000002010080030000107900006004000029000007000009000000,318679245796524183452381697643752918985136472127948356564813729831297564279465831,23,0.0,0,318679245796524183452381697643752918985136472127948356564813729831297564279465831,0.167
000000260000000900000302045390807010000005000760090000900000100003058700600003000,438519267526784931179362845395847612812635479764291358957426183243158796681973524,24,0.0,0,438519267526784931179362845395847612812635479764291358957426183243158796681973524,0.889
000090020000001708030060000000000503008000090250083000002600075406029000000000006,761895324925341768834267159647912583318756492259483617182634975476529831593178246,24,0.0,0,761895324925341768834267159647912583318756492259483617182634975476529831593178246,1.748
000100008002004009006000170800310750000000800003900000000801060000060300304500000,735196248182754639496283175849312756271645893653978412927831564518469327364527981,24,0.0,0,735196248182754639496283175849312756271645893653978412927831564518469327364527981,0.084
009002000604000030800710500500023000000001800030000000780000000200060170000009000,159432786674895231823716549518923467967541823432687915786154392295368174341279658,22,0.0,0,159432786674895231823716549518923467967541823432687915786154392295368174341279658,2.524
050000803000210007040000200080540000003800100000100309609000700000030000012060000,257694813396218547148357296981543672763829154524176389639481725875932461412765938,24,1.0,0,257694813396218547148357296981543672763829154524176389639481725875932461412765938,0.864
000350000041000000000800507000090102092000700084003600060700020030010000708000004,876352419541967238923841567357496182692185743184273695465738921239514876718629354,25,0.0,0,876352419541967238923841567357496182692185743184273695465738921239514876718629354,0.294
000009200905000010000018030000356700700000004053100000002041005040000600006020000,418539276935267418627418539294356781761892354853174962372641895149785623586923147,25,0.0,0,418539276935267418627418539294356781761892354853174962372641895149785623586923147,0.119
000180207070000400800900005000010090502003800007000002000000004200350000100700960,965184237371526489824937615483215796592673841617498352739861524246359178158742963,25,0.0,0,965184237371526489824937615483215796592673841617498352739861524246359178158742963,0.392
070105000500300002940072000004010700039000005000000080000650000206004003700000604,372165948568349172941872356824516739139487265657923481493651827286794513715238694,26,0.0,0,372165948568349172941872356824516739139487265657923481493651827286794513715238694,0.159
003000068000000004000031500700000400500900006600047230000400100005309000091006040,123754968857692314946831527732168459514923876689547231268475193475319682391286745,26,0.0,0,123754968857692314946831527732168459514923876689547231268475193475319682391286745,1.944
021070085090000000700080006012600830080030060000015000000009700950000000000000410,621473985894156372735982146512694837489237561367815294146329758958741623273568419,25,0.0,0,621473985894156372735982146512694837489237561367815294146329758958741623273568419,0.296
000000309000030000109000004310096070008300002640700080024000000000578000000020008,286147359457239816139685724312896475798354162645712983824961537963578241571423698,25,0.0,0,286147359457239816139685724312896475798354162645712983824961537963578241571423698,0.882
000096032800000001000000950004000010007082000000309000060510000040007063000000070,175496832896253741432871956924765318357182694681349527763514289548927163219638475,23,0.0,0,175496832896253741432871956924765318357182694681349527763514289548927163219638475,0.257
000000501500092000102000308050076049008400007060003000004000080000705000000000200,679348521583192476142567398351276849928451637467983152214639785836725914795814263,24,0.0,0,679348521583192476142567398351276849928451637467983152214639785836725914795814263,0.086
000500003006030000900006007030005020510200000000900084200000679000001000000890050,142579863876132495953486217438765921519248736627913584281354679795621348364897152,24,0.0,0,142579863876132495953486217438765921519248736627913584281354679795621348364897152,1.219
002006700000000005000090002010003020059040060000061800093000008040050100000080903,582436719961827435437195682816973524759248361324561897693714258248359176175682943,25,0.0,0,582436719961827435437195682816973524759248361324561897693714258248359176175682943,4.924
060050001905007060010000094030605040020004836000090000004000000000000089300020000,268459371945137268713268594137685942529714836486392715854971623672543189391826457,25,1.0,0,268459371945137268713268594137685942529714836486392715854971623672543189391826457,0.063
