difficulty,core1,core2,core4,core8,core16,core32
0.0,1.0,0.789,1.937,2.821,4.217,4.848
1.0,1.0,0.768,1.871,2.048,4.489,4.042
1.1,1.0,0.798,1.843,2.428,3.729,5.222
1.2,1.0,0.792,2.041,2.866,4.143,6.585
1.3,1.0,0.789,1.532,3.467,7.127,9.361
1.4,1.0,0.8,1.796,2.93,3.971,7.184
1.5,1.0,0.782,2.217,3.173,4.455,7.177
1.6,1.0,0.798,1.84,2.109,3.76,5.377
1.7,1.0,0.795,1.728,2.69,3.713,4.61
1.8,1.0,0.805,2.035,2.787,4.517,6.613
1.9,1.0,0.796,1.717,2.229,4.711,6.326
2.0,1.0,0.781,1.379,2.906,5.23,5.658
2.1,1.0,0.783,1.545,2.197,2.766,4.463
2.2,1.0,0.789,2.175,3.481,5.308,8.14
2.3,1.0,0.797,1.381,1.81,3.837,5.205
2.4,1.0,0.793,1.682,2.491,3.156,4.414
2.5,1.0,0.798,1.287,2.39,4.231,6.879
2.6,1.0,0.786,1.679,2.56,3.914,5.755
2.7,1.0,0.798,1.892,3.04,4.655,8.417
2.8,1.0,0.801,1.612,2.272,6.756,11.58
2.9,1.0,0.801,1.824,2.97,6.006,9.502
3.0,1.0,0.784,1.79,2.328,4.801,7.088
3.1,1.0,0.802,1.833,2.469,3.132,5.669
3.2,1.0,0.787,2.024,3.079,5.476,8.56
3.3,1.0,0.797,1.54,2.55,4.763,6.316
3.4,1.0,0.795,1.676,2.409,4.986,6.7
3.5,1.0,0.793,2.243,3.713,5.669,7.852
3.6,1.0,0.8,1.555,2.396,4.76,6.114
3.7,1.0,0.793,1.599,2.552,4.339,6.491
3.8,1.0,0.797,2.51,4.524,5.838,11.977
3.9,1.0,0.793,1.49,2.695,4.933,6.686
4.0,1.0,0.792,4.377,5.814,10.037,13.122
4.1,1.0,0.795,1.432,2.101,5.766,3.773
4.2,1.0,0.789,1.611,2.679,4.909,3.391
4.3,1.0,0.797,1.704,2.893,5.165,3.494
4.4,1.0,0.791,2.365,3.673,7.037,5.614
4.5,1.0,0.797,2.184,5.05,6.221,5.61
4.6,1.0,0.796,1.547,2.329,5.398,3.612
4.7,1.0,0.785,3.333,4.546,7.175,6.935
4.8,1.0,0.792,2.057,3.083,5.374,3.124
4.9,1.0,0.79,1.551,2.737,4.254,3.837
5.0,1.0,0.801,2.109,3.522,5.971,5.828
5.1,1.0,0.799,1.651,2.823,4.487,3.97
5.2,1.0,0.792,1.843,3.18,4.6,3.989
5.3,1.0,0.798,2.187,3.208,5.273,4.579
5.4,1.0,0.796,1.977,3.227,4.712,5.37
5.5,1.0,0.794,2.063,3.346,5.437,4.749
5.6,1.0,0.804,1.983,2.517,5.213,5.535
5.7,1.0,0.8,1.509,2.706,4.307,3.3
5.8,1.0,0.81,1.89,3.028,6.151,5.773
5.9,1.0,0.803,2.078,3.808,6.057,8.345
6.0,1.0,0.803,3.099,4.58,7.215,6.803
6.1,1.0,0.798,1.852,2.638,3.834,4.149
6.2,1.0,0.794,1.996,2.712,5.844,4.869
6.3,1.0,0.795,1.592,2.249,3.801,4.103
6.4,1.0,0.802,1.74,2.479,4.545,5.382
6.5,1.0,0.798,1.928,2.961,4.854,3.874
6.6,1.0,0.808,1.769,2.344,4.916,7.311
6.7,1.0,0.8,1.783,2.497,6.605,6.205
6.8,1.0,0.793,2.285,2.87,4.094,3.622
6.9,1.0,0.798,1.493,1.805,3.747,5.223
7.0,1.0,0.811,1.732,2.745,3.293,6.855
7.1,1.0,0.804,3.054,4.114,6.172,4.926
7.2,1.0,0.802,3.005,6.15,6.191,8.25
7.3,1.0,0.787,1.107,1.326,1.415,1.672
7.4,1.0,0.792,1.58,3.049,8.424,4.865
7.5,1.0,0.791,1.767,1.976,1.971,1.889
7.6,1.0,0.784,1.669,2.911,6.492,4.169
7.7,1.0,0.818,2.444,5.432,5.724,4.034
7.8,1.0,0.78,2.391,8.252,27.213,1.421
7.9,1.0,0.809,4.229,47.312,48.396,26.712
8.0,1.0,0.778,1.983,2.535,4.7,5.289
8.2,1.0,0.759,0.769,0.756,0.766,0.334
8.3,1.0,0.794,0.799,7.221,7.12,0.941
8.4,1.0,0.796,27.527,27.549,27.852,24.197
8.5,1.0,0.772,0.764,0.764,0.702,0.576
